Time, Date, Latitude, Longitude, Temperature, Humidity, PM low pulse occupancy, PM ration, PM concentration, 
21:20:2.0 29/4/2015, 38.43342590, -78.86181640, 25.30, 26.10, 79072, 7.91, 4418.60, 
21:20:4.0 29/4/2015, 38.43342971, -78.86184692, 25.60, 26.40, 15622, 1.56, 807.88, 
21:20:7.0 29/4/2015, 38.43343353, -78.86185455, 25.80, 26.30, 33786, 3.38, 1756.54, 
21:20:8.984 29/4/2015, 38.43342208, -78.86185455, 26.00, 28.00, 0, 0.00, 0.62, 
21:20:11.0 29/4/2015, 38.43341064, -78.86186218, 26.00, 29.70, 0, 0.00, 0.62, 
21:20:14.0 29/4/2015, 38.43340301, -78.86186981, 25.90, 28.90, 25741, 2.57, 1332.73, 
21:20:16.0 29/4/2015, 38.43340682, -78.86186981, 25.80, 28.60, 0, 0.00, 0.62, 
21:20:18.0 29/4/2015, 38.43341445, -78.86186981, 1664.70, 28.30, 0, 0.00, 0.62, 
21:20:20.984 29/4/2015, 38.43342208, -78.86186218, 25.90, 28.00, 64061, 6.41, 3465.03, 
21:20:23.0 29/4/2015, 38.43341827, -78.86185455, 25.90, 27.40, 0, 0.00, 0.62, 
21:20:24.984 29/4/2015, 38.43341827, -78.86185455, 25.80, 26.90, 0, 0.00, 0.62, 
21:20:27.0 29/4/2015, 38.43342208, -78.86185455, 25.80, 26.40, 0, 0.00, 0.62, 
21:20:30.0 29/4/2015, 38.43342208, -78.86185455, 25.70, 26.40, 0, 0.00, 0.62, 
21:20:32.0 29/4/2015, 38.43341827, -78.86185455, 25.70, 26.40, 0, 0.00, 0.62, 
21:20:34.0 29/4/2015, 38.43341827, -78.86185455, 25.60, 26.50, 0, 0.00, 0.62, 
21:20:36.984 29/4/2015, 38.43342208, -78.86185455, 25.60, 29.50, 0, 0.00, 0.62, 
21:20:39.0 29/4/2015, 38.43342208, -78.86185455, 25.50, 30.20, 0, 0.00, 0.62, 
21:20:40.984 29/4/2015, 38.43342208, -78.86185455, -25.30, 31.00, 0, 0.00, 0.62, 
