Time, Date, Latitude, Longitude, Temperature, Humidity, PM low pulse occupancy, PM ration, PM concentration, Ozone, 
21:18:36.984 29/4/2015, 38.43349075, -78.86166381, 227.40, 29.30, 0, 0.00, 0.62, 279, 
21:18:39.0 29/4/2015, 38.43347167, -78.86168670, 25.10, 30.20, 0, 0.00, 0.62, 38, 
21:18:40.984 29/4/2015, 38.43344879, -78.86172485, 24.90, 31.00, 0, 0.00, 0.62, 38, 
21:18:44.0 29/4/2015, 38.43342208, -78.86174011, 24.80, 30.80, 0, 0.00, 0.62, 93, 
21:18:46.0 29/4/2015, 38.43341064, -78.86176300, 24.80, 31.90, 0, 0.00, 0.62, 94, 
21:18:48.0 29/4/2015, 38.43340682, -78.86176300, 843.80, 32.10, 0, 0.00, 0.62, 95, 
21:18:50.0 29/4/2015, 38.43340301, -78.86177825, 24.50, 29.80, 0, 0.00, 0.62, 94, 
21:18:52.984 29/4/2015, 38.43341064, -78.86178588, 24.40, 28.10, 0, 0.00, 0.62, 94, 
21:18:55.0 29/4/2015, 38.43342208, -78.86179351, 24.50, 28.80, 0, 0.00, 0.62, 94, 
21:18:56.984 29/4/2015, 38.43342590, -78.86178588, 24.90, 29.30, 46303, 4.63, 2436.10, 100, 
21:19:0.0 29/4/2015, 38.43343353, -78.86177062, 25.10, 29.30, 0, 0.00, 0.62, 517, 
21:19:2.0 29/4/2015, 38.43343353, -78.86177062, 25.30, 28.90, 0, 0.00, 0.62, 500, 
21:19:4.0 29/4/2015, 38.43344497, -78.86176300, 25.30, 27.70, 39092, 3.91, 2041.05, 109, 
21:19:7.0 29/4/2015, 38.43344497, -78.86176300, 25.20, 26.60, 86618, 8.66, 4934.51, 102, 
21:19:8.984 29/4/2015, 38.43345260, -78.86176300, 24.90, 28.40, 0, 0.00, 0.62, 101, 
21:19:11.0 29/4/2015, 38.43346023, -78.86177062, 24.80, 27.50, 0, 0.00, 0.62, 100, 
21:19:12.984 29/4/2015, 38.43346023, -78.86177062, 1663.20, 26.80, 0, 0.00, 0.62, 99, 
