date,time,latitude,longitude,ozone,pm
5/4/2015,23:4:56.984,38.4338623047,-78.8644124349,37,33587.29
5/4/2015,23:4:59.0,38.4338338216,-78.8643880208,366,0.62
5/4/2015,23:5:0.984,38.4338094076,-78.8643554688,30,41987.39
5/4/2015,23:5:4.0,38.4337687174,-78.8643147786,296,51017.14
5/4/2015,23:5:6.0,38.4337443034,-78.8642822266,229,9569.18
5/4/2015,23:5:8.0,38.4337158203,-78.8642496745,449,10738.74
5/4/2015,23:5:11.0,38.4336791992,-78.8642089844,0,0.62
5/4/2015,23:5:12.984,38.4336588542,-78.8641764323,298,9415.19
5/4/2015,23:5:15.0,38.4336425781,-78.8641438802,219,0.62
5/4/2015,23:5:18.0,38.4336181641,-78.8640950521,332,3218.16
5/4/2015,23:5:20.0,38.4335978190,-78.8640706380,200,18404.64
5/4/2015,23:5:22.0,38.4335652669,-78.8639485677,308,19083.74
5/4/2015,23:5:24.984,38.4335367839,-78.8638346354,273,20957.55
5/4/2015,23:5:27.0,38.4335205078,-78.8637939453,194,11664.1
5/4/2015,23:5:28.984,38.4335083008,-78.8637532552,228,24956.52
5/4/2015,23:5:31.0,38.4334879557,-78.8637207031,381,20972.94
5/4/2015,23:5:34.0,38.4334676107,-78.8636800130,213,22531.39
5/4/2015,23:5:36.0,38.4334554036,-78.8636474609,107,25062.16
5/4/2015,23:5:38.0,38.4334472656,-78.8636149089,136,21415.41
5/4/2015,23:5:40.984,38.4334350586,-78.8635579427,27,25957.08
5/4/2015,23:5:43.0,38.4334269206,-78.8635253906,61,19963.26
5/4/2015,23:5:44.984,38.4334228516,-78.8634847005,229,16595.25
5/4/2015,23:5:48.0,38.4334147135,-78.8634277344,165,21796.51
5/4/2015,23:5:50.0,38.4334147135,-78.8633951823,174,21040.82
5/4/2015,23:5:52.0,38.4334147135,-78.8633544922,35,19123.16
5/4/2015,23:5:55.0,38.4334106445,-78.8632975260,278,28311.76
5/4/2015,23:5:56.984,38.4334065755,-78.8632649740,376,17611.85
5/4/2015,23:5:59.0,38.4334106445,-78.8632242839,519,9831.51
5/4/2015,23:6:2.0,38.4334187826,-78.8631673177,0,1704.9
5/4/2015,23:6:4.0,38.4334269206,-78.8631266276,0,17296.31
5/4/2015,23:6:6.0,38.4334309896,-78.8630940755,365,24876.47
5/4/2015,23:6:8.0,38.4334391276,-78.8630533854,49,19484.26
5/4/2015,23:6:11.0,38.4334513346,-78.8629964193,168,15706.14
5/4/2015,23:6:12.984,38.4334594727,-78.8629638672,408,16721.47
5/4/2015,23:6:15.0,38.4334635417,-78.8629231771,200,13650.99
5/4/2015,23:6:18.0,38.4334716797,-78.8628662109,229,36903
5/4/2015,23:6:20.0,38.4334757487,-78.8628336589,347,20383.78
5/4/2015,23:6:22.0,38.4334798177,-78.8627929688,114,18607.46
5/4/2015,23:6:24.984,38.4334920247,-78.8627441406,224,25099.28
5/4/2015,23:6:27.0,38.4334960938,-78.8627034505,0,18982.07
5/4/2015,23:6:28.984,38.4335083008,-78.8626708984,189,13944.62
5/4/2015,23:6:32.0,38.4335245768,-78.8626139323,500,10241.38
5/4/2015,23:6:34.0,38.4335327148,-78.8625813802,562,12065.56
5/4/2015,23:6:36.0,38.4335449219,-78.8625488281,379,6236.96
5/4/2015,23:6:38.0,38.4335611979,-78.8625162760,283,14206.93
5/4/2015,23:6:40.984,38.4335856120,-78.8624593099,323,15801.73
5/4/2015,23:6:43.0,38.4336059570,-78.8624267578,90,18795.91
5/4/2015,23:6:44.984,38.4336303711,-78.8624023438,60,15800.96
5/4/2015,23:6:48.0,38.4336588542,-78.8623535156,54,14968.44
5/4/2015,23:6:50.0,38.4336832682,-78.8623209635,115,12741.22
5/4/2015,23:6:52.0,38.4337076823,-78.8622965495,348,30848.25
5/4/2015,23:6:55.0,38.4337402344,-78.8622639974,299,360.81
5/4/2015,23:6:56.984,38.4337687174,-78.8622477214,250,17705.77
5/4/2015,23:6:59.0,38.4338012695,-78.8622314453,172,18539.6
5/4/2015,23:7:2.0,38.4338378906,-78.8622233073,145,24594.16
5/4/2015,23:7:4.0,38.4338582357,-78.8622233073,186,7946.7
5/4/2015,23:7:6.0,38.4338704427,-78.8622070312,232,12903.22
5/4/2015,23:7:8.984,38.4338867188,-78.8621988932,203,7709.61
3/4/2015,19:31:24.0,38.4411376953,-78.8701497396,36,38
3/4/2015,19:31:26.203,38.4411539714,-78.8701253255,61,10898.18
3/4/2015,19:31:28.0,38.4411702474,-78.8701253255,38,27.75
3/4/2015,19:31:30.0,38.4411987305,-78.8700927734,133,1247.3
3/4/2015,19:31:32.203,38.4413289388,-78.8700520833,132,7859.6
3/4/2015,19:31:35.0,38.4413981120,-78.8700113932,124,2411.85
3/4/2015,19:31:36.984,38.4414225260,-78.8699951172,136,965.06
3/4/2015,19:31:40.0,38.4415527344,-78.8699788411,130,2812.73
3/4/2015,19:31:42.0,38.4416137695,-78.8699218750,136,0.62
3/4/2015,19:31:46.0,38.4416300456,-78.8698079427,136,0.62
3/4/2015,19:31:48.984,38.4416463216,-78.8696858724,133,0.62
3/4/2015,19:31:50.203,38.4416503906,-78.8696207682,136,0.62
3/4/2015,19:31:52.984,38.4416625977,-78.8695556641,136,0.62
3/4/2015,19:31:58.0,38.4408691406,-78.8720377604,146,0.62
3/4/2015,19:32:0.0,38.4406331380,-78.8725992839,170,3802.79
3/4/2015,19:32:3.0,38.4408162435,-78.8729736328,152,11711.72
3/4/2015,19:32:4.984,38.4408691406,-78.8730712891,146,6412.55
3/4/2015,19:32:7.0,38.4407958984,-78.8729573568,162,2564.84
3/4/2015,19:32:10.0,38.4402669271,-78.8721761068,142,11977.98
3/4/2015,19:32:12.0,38.4401367188,-78.8719970703,157,4084.86
3/4/2015,19:32:14.0,38.4399861654,-78.8717773438,147,11888.26
3/4/2015,19:32:16.0,38.4398722331,-78.8716227214,154,2252.28
3/4/2015,19:32:19.0,38.4397420247,-78.8714680990,147,2352.36
3/4/2015,19:32:20.984,38.4395222982,-78.8712972005,147,13018.66
3/4/2015,19:32:23.0,38.4392049154,-78.8710693359,120,1878.82
3/4/2015,19:32:26.0,38.4391601562,-78.8709472656,121,3384.04
3/4/2015,19:32:28.0,38.4391886393,-78.8708658854,152,6564.42
3/4/2015,19:32:30.0,38.4391805013,-78.8708089193,166,17615.38
3/4/2015,19:32:32.984,38.4391520182,-78.8707682292,157,6753.12
3/4/2015,19:32:35.0,38.4391276042,-78.8707682292,147,12959.38
3/4/2015,19:32:36.984,38.4391113281,-78.8707356771,150,9397.47
3/4/2015,19:32:40.0,38.4390665690,-78.8706949870,144,14647.87
3/4/2015,19:32:42.0,38.4390625000,-78.8706868490,154,8350.24
3/4/2015,19:32:44.0,38.4390543620,-78.8706542969,154,340.11
3/4/2015,19:32:46.0,38.4390543620,-78.8706217448,145,1429
3/4/2015,19:32:48.984,38.4390299479,-78.8705729167,159,4666.71
3/4/2015,19:32:51.0,38.4390218099,-78.8705566406,146,2348.61
3/4/2015,19:32:52.984,38.4390055339,-78.8705403646,134,9308.91
3/4/2015,19:32:56.0,38.4389648438,-78.8705078125,158,2614.87
